Country;Area in square miles;Area in square kilometres;Total area rank
Guam;217;561;193
Palau;189;490;194
Northern Mariana Islands;182;472;195
Andorra;181;468;196
Seychelles;172;446;197
Curaçao12;171;444;198
Antigua and Barbuda;171;442;199
Barbados;166;430;200
Saint Vincent and the Grenadines;150;389;201
Mayotte;145;375;202
Gaza Strip;141;365;203
United States Virgin Islands;134;348;204
Grenada;133;344;205
Malta;122;316;206
Maldives;115;298;207
Cayman Islands;102;264;208
Saint Kitts and Nevis;102;263;209
American Samoa;77;199;210
Marshall Islands;70;181;211
Aruba;70;180;212
Liechtenstein;62;160;213
Jersey;46;120;214
Guernsey;30;78;215
San Marino;24;61;216
Bermuda;21;54;217
Sint Maarten;13;34;218
Macau;13;33;219
Tuvalu;10;26;220
Nauru;8;21;221
Monaco;0.8;2.1;222
Vatican City;0.17;0.44;223
